Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD_min dI_min dH_nT dX_nT dY_nT dZ_nT dF_nT
2024.0 M M349.0 49 -86    -6d 36m    73d 38m   15751.3  15647.1  -1809.3  53617.6  55883.3     1.4      -5.0         53.8     54.2      0.1   -105.9    -86.5
2024.0 M M11.0 47 -61   -17d 15m    67d 46m   19620.6  18737.5  -5820.2  47991.3  51847.2     9.9      -5.7         57.5     71.7     36.9    -87.2    -58.9
2024.0 M M20.0 55 -77   -15d 20m    76d 34m   13182.7  12713.4  -3486.1  55199.0  56751.3    10.6      -4.7         61.8     70.4     22.8    -74.1    -57.7
2024.0 M M144.0 56 -94     0d -48m    78d 24m   11625.6  11624.5   -163.5  56669.0  57849.2     2.0      -4.3         56.4     56.5      6.0    -87.5    -74.4
2024.0 M M359.0 52 -102     6d 40m    75d 22m   14343.6  14246.4   1666.8  54941.5  56783.0    -3.5      -3.7         36.5     37.9    -10.2   -104.3    -91.7
2024.0 M M413.0 49 -92    -1d 30m    73d 51m   15603.2  15597.9   -409.5  53863.3  56077.8    -1.3      -4.5         45.6     45.4     -7.0   -108.2    -91.3
2024.0 M M36.0 70 -117    17d 25m    84d  3m    5994.2   5719.3   1794.5  57527.5  57839.0   -13.0      -4.3         65.6     69.4     -2.1    -69.6    -62.4
2024.0 M M47.0 68 -95    -5d 15m    84d 38m    5435.1   5412.3   -496.8  57836.6  58091.4    20.0      -4.1         65.1     67.8     25.5    -50.4    -44.1
2024.0 M M238.0 43 -79   -10d 20m    68d 30m   19374.9  19060.2  -3478.0  49194.6  52872.5     1.3      -5.9         49.7     50.2     -1.6   -123.2    -96.4
2024.0 M M28.0 45 -73   -13d 57m    68d 54m   19070.2  18507.7  -4597.7  49429.7  52980.8     5.0      -6.1         57.4     62.3     12.9   -112.4    -84.2
2024.0 M M166.0 60 -115    15d 56m    78d 50m   11156.7  10727.9   3063.3  56523.7  57614.2    -6.4      -3.4         39.6     43.8     -9.0    -97.3    -87.7
2024.0 M M146.0 44 -63   -16d 22m    65d 48m   20836.0  19992.1  -5870.0  46350.4  50818.3     8.0      -6.4         57.4     68.7     30.4   -103.0    -70.5
2024.0 M M430.0 48 -91    -2d 13m    73d  9m   16154.6  16142.4   -626.6  53323.0  55716.4    -1.3      -4.6         44.8     44.5     -8.0   -110.8    -93.1
2024.0 M M56.0 72 -77   -30d 40m    84d 51m    5117.4   4401.6  -2610.4  56836.8  57066.8    47.5      -2.0         32.0     63.5     44.5    -16.2    -13.2
2024.0 M M42.0 45 -73   -13d 57m    68d 54m   19070.1  18507.6  -4597.6  49429.3  52980.4     5.0      -6.1         57.4     62.3     12.9   -112.4    -84.2
2024.0 M M26.0 48 -58   -17d 32m    67d 54m   19471.4  18566.2  -5867.6  47955.0  51757.3    10.9      -5.4         55.9     72.0     42.3    -77.6    -50.8
2024.0 M M346.0 50 -120    15d 18m    71d  9m   17552.4  16930.5   4630.8  51390.5  54305.3    -5.9      -2.1         -1.9      6.2    -29.7   -107.8   -102.6
2024.0 M M317.0 43 -80    -9d 43m    68d 39m   19282.5  19005.9  -3253.8  49349.1  52982.5     0.9      -5.9         48.6     48.7     -3.3   -123.5    -97.3
2024.0 M M521.0 54 -66   -19d 15m    74d  1m   15182.1  14333.5  -5004.8  52991.6  55123.5    13.1      -4.6         57.6     73.4     35.5    -64.8    -46.4
2024.0 M M695.0 51 -109    11d 12m    73d 48m   15616.0  15318.6   3033.1  53736.0  55959.0    -5.1      -3.1         20.7     24.7    -18.6   -108.2    -98.1
2024.0 M M199.0 43 -79   -10d 20m    68d 30m   19375.3  19060.6  -3478.1  49195.6  52873.5     1.3      -5.9         49.7     50.2     -1.6   -123.2    -96.4
2024.0 M M447.0 47 -83    -8d 29m    71d 58m   17016.4  16830.1  -2510.5  52260.9  54961.4     1.6      -5.3         53.4     54.0      0.1   -111.5    -89.5
2024.0 M M481.0 54 -108    11d  3m    75d 60m   13778.8  13523.3   2641.3  55251.8  56944.0    -4.5      -3.4         31.9     34.8    -11.7   -103.4    -92.6
2024.0 M M669.0 53 -110    12d  4m    75d  2m   14595.0  14272.4   3051.8  54584.8  56502.4    -5.0      -3.2         25.4     29.3    -15.6   -105.8    -95.7
2024.0 M M31.0 82 -62   -41d 27m    86d 15m    3671.3   2752.0  -2430.0  55953.9  56074.2    69.7       0.3         -3.6     46.6     58.2     14.3     14.1
2024.0 M M430.0 49 -119    14d 49m    70d 36m   17940.8  17344.6   4586.4  50953.5  54019.7    -5.8      -2.1         -3.8      4.1    -30.3   -107.9   -103.0
2024.0 M M504.0 63 -135    18d 60m    77d 31m   12231.5  11565.7   3980.5  55245.9  56583.7   -13.6      -2.7         23.9     38.3    -38.1    -96.8    -89.3
2024.0 M M577.0 50 -105     8d 40m    73d 39m   15749.9  15570.1   2373.1  53692.9  55955.2    -4.6      -3.4         24.9     27.8    -17.1   -108.9    -97.5
2024.0 M M370.0 56 -111    13d  8m    76d 53m   12972.4  12632.7   2949.4  55706.2  57196.7    -5.0      -3.3         33.1     36.6    -11.0   -101.7    -91.5
2024.0 M M10.0 51 -80   -11d 45m    74d 22m   15103.7  14787.1  -3076.2  53989.0  56061.9     5.7      -5.2         60.9     64.7     12.1    -94.2    -74.3
2024.0 M M201.0 46 -75   -13d 16m    70d  3m   18324.7  17835.8  -4204.7  50469.5  53693.3     4.7      -5.9         57.8     62.0     11.0   -110.3    -83.9
2024.0 M M83.0 45 -74   -13d 30m    69d  6m   18947.5  18424.0  -4423.4  49633.2  53126.8     4.5      -6.1         57.0     61.2     11.1   -113.3    -85.5
2024.0 M M11.0 50 -61   -18d 12m    70d  7m   18050.8  17148.4  -5635.9  49901.2  53065.6    11.4      -5.1         57.0     72.9     39.2    -74.6    -50.7
2024.0 M M65.0 45 -75   -13d  1m    69d 18m   18828.8  18345.0  -4240.9  49830.7  53269.4     4.1      -6.0         56.5     60.1      9.3   -114.1    -86.8
2024.0 M M280.0 49 -77   -13d  2m    72d 33m   16516.6  16091.6  -3722.6  52560.7  55094.7     5.7      -5.5         60.2     64.8     13.0    -99.9    -77.2
2024.0 M M252.0 67 -139    18d 32m    79d 36m   10295.0   9760.8   3273.2  56067.7  57005.0   -19.3      -2.9         32.9     49.6    -44.5    -84.3    -76.9
2024.0 M M542.0 54 -110    12d 14m    75d 43m   14016.6  13698.1   2971.0  55028.9  56786.0    -5.0      -3.2         28.5     32.2    -13.7   -104.4    -94.1
